id,special_area_name,special_area_id,category,density
area_plan_78,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_79,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_80,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_81,NA,NA,Single_Family_Density,"NA"
area_plan_82,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_83,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_84,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_85,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_86,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_87,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_88,NA,NA,Single_Family_Density,NA
area_plan_89,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_90,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_91,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_92,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_93,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_94,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_95,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_96,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_97,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_98,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_99,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_100,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_1,NA,NA,Multi_Family_Density,15
area_plan_2,NA,NA,Multi_Family_Density,0
area_plan_3,NA,NA,Multi_Family_Density,0
area_plan_4,NA,NA,Multi_Family_Density,15
area_plan_5,NA,NA,Multi_Family_Density,0
area_plan_6,NA,NA,Multi_Family_Density,0
area_plan_7,NA,NA,Multi_Family_Density,0
area_plan_8,NA,NA,Multi_Family_Density,0
area_plan_9,NA,NA,Multi_Family_Density,0
area_plan_10,NA,NA,Multi_Family_Density,0
area_plan_11,NA,NA,Multi_Family_Density,0
area_plan_12,NA,NA,Multi_Family_Density,0
area_plan_13,NA,NA,Multi_Family_Density,0
area_plan_14,NA,NA,Multi_Family_Density,0
area_plan_15,NA,NA,Multi_Family_Density,0
area_plan_16,NA,NA,Multi_Family_Density,15
area_plan_17,NA,NA,Multi_Family_Density,0
area_plan_18,NA,NA,Multi_Family_Density,8
area_plan_19,NA,NA,Multi_Family_Density,0
area_plan_20,NA,NA,Multi_Family_Density,0
area_plan_21,NA,NA,Multi_Family_Density,0
area_plan_22,NA,NA,Multi_Family_Density,15
area_plan_23,NA,NA,Multi_Family_Density,25
area_plan_24,NA,NA,Multi_Family_Density,15
area_plan_25,NA,NA,Multi_Family_Density,15
area_plan_26,NA,NA,Multi_Family_Density,25
area_plan_27,NA,NA,Multi_Family_Density,0
area_plan_28,NA,NA,Multi_Family_Density,0
area_plan_29,NA,NA,Multi_Family_Density,25
area_plan_30,NA,NA,Multi_Family_Density,15
area_plan_31,NA,NA,Multi_Family_Density,8
area_plan_32,NA,NA,Multi_Family_Density,0
area_plan_33,NA,NA,Multi_Family_Density,0
area_plan_34,NA,NA,Multi_Family_Density,0
area_plan_35,NA,NA,Multi_Family_Density,15
area_plan_36,NA,NA,Multi_Family_Density,0
area_plan_37,NA,NA,Multi_Family_Density,0
area_plan_38,NA,NA,Multi_Family_Density,0
area_plan_39,LAKE FOREST COMMERCIAL SA #1-COM/PS,1,Multi_Family_Density,NA
area_plan_40,LAKE FOREST COMMERCIAL SA #2-COM/PS,2,Multi_Family_Density,NA
area_plan_41,NA,NA,Multi_Family_Density,15
